snapshot_id,snapshot_date,factory_class,registration_count,deprecated_registration_count,hidden_registration_count,repositories,plugin_xml_files,category_paths
date-2026-06-28,2026-06-28,org.knime.al.nodes.score.combine.pbac.UncertaintyDistributionScorerNodeFactory,1,1,0,knime-activelearning,knime-activelearning/org.knime.activelearning/plugin.xml,/labs/activelearning/score/combiner
date-2026-06-28,2026-06-28,org.knime.al.nodes.score.pbac.PBACScorerNodeFactory,1,1,0,knime-activelearning,knime-activelearning/org.knime.activelearning/plugin.xml,/labs/activelearning/score/allinone
date-2026-06-28,2026-06-28,org.knime.al.nodes.score.uncertainty.variance.VarianceScorerNodeFactory,1,1,0,knime-activelearning,knime-activelearning/org.knime.activelearning/plugin.xml,/labs/activelearning/score/uncertainty
date-2026-06-28,2026-06-28,org.knime.al.nodes.select.elementselector.ElementSelectorNodeFactory,1,1,0,knime-activelearning,knime-activelearning/org.knime.activelearning/plugin.xml,/labs/activelearning/select
date-2026-06-28,2026-06-28,org.knime.base.filehandling.binaryobjectstofiles.BinaryObjectsToFilesNodeFactory,1,1,0,knime-filehandling,knime-filehandling/org.knime.base.filehandling/plugin.xml,/io/io-other/binaryobjects
date-2026-06-28,2026-06-28,org.knime.base.filehandling.copyfiles.CopyFilesNodeFactory,1,1,0,knime-filehandling,knime-filehandling/org.knime.base.filehandling/plugin.xml,/io/filehandling
date-2026-06-28,2026-06-28,org.knime.base.filehandling.createdirectory.CreateDirectoryNodeFactory,1,1,0,knime-filehandling,knime-filehandling/org.knime.base.filehandling/plugin.xml,/io/filehandling/remote
date-2026-06-28,2026-06-28,org.knime.base.filehandling.deletefiles.DeleteFilesNodeFactory,1,1,0,knime-filehandling,knime-filehandling/org.knime.base.filehandling/plugin.xml,/io/filehandling/remote
date-2026-06-28,2026-06-28,org.knime.base.filehandling.download.DownloadNodeFactory,1,1,0,knime-filehandling,knime-filehandling/org.knime.base.filehandling/plugin.xml,
date-2026-06-28,2026-06-28,org.knime.base.filehandling.download2.DownloadNodeFactory,1,1,0,knime-filehandling,knime-filehandling/org.knime.base.filehandling/plugin.xml,/io/filehandling/remote
date-2026-06-28,2026-06-28,org.knime.base.filehandling.downloaduploadfromlist.DownloadUploadFromListNodeFactory,1,1,0,knime-filehandling,knime-filehandling/org.knime.base.filehandling/plugin.xml,
date-2026-06-28,2026-06-28,org.knime.base.filehandling.downloaduploadfromlist2.DownloadUploadFromListNodeFactory,1,1,0,knime-filehandling,knime-filehandling/org.knime.base.filehandling/plugin.xml,/io/filehandling/remote
date-2026-06-28,2026-06-28,org.knime.base.filehandling.filemetainfo.FileMetaInfoNodeFactory,2,2,0,knime-filehandling,knime-filehandling/org.knime.base.filehandling/plugin.xml,/io/filehandling
date-2026-06-28,2026-06-28,org.knime.base.filehandling.filemetainfo2.FileMetaInfo2NodeFactory,1,1,0,knime-filehandling,knime-filehandling/org.knime.base.filehandling/plugin.xml,/io/filehandling
date-2026-06-28,2026-06-28,org.knime.base.filehandling.listdirectory.ListDirectoryNodeFactory,1,1,0,knime-filehandling,knime-filehandling/org.knime.base.filehandling/plugin.xml,/io/filehandling/remote
date-2026-06-28,2026-06-28,org.knime.base.filehandling.remote.connectioninformation.node.ftp.FTPConnectionInformationNodeFactory,1,1,0,knime-filehandling,knime-filehandling/org.knime.base.filehandling/plugin.xml,/io/filehandling/remote/connections
date-2026-06-28,2026-06-28,org.knime.base.filehandling.remote.connectioninformation.node.http.HTTPConnectionInformationNodeFactory,1,1,0,knime-filehandling,knime-filehandling/org.knime.base.filehandling/plugin.xml,/io/filehandling/remote/connections
date-2026-06-28,2026-06-28,org.knime.base.filehandling.remote.connectioninformation.node.https.HTTPSConnectionInformationNodeFactory,1,1,0,knime-filehandling,knime-filehandling/org.knime.base.filehandling/plugin.xml,/io/filehandling/remote/connections
date-2026-06-28,2026-06-28,org.knime.base.filehandling.remote.connectioninformation.node.ssh.SSHConnectionInformationNodeFactory,1,1,0,knime-filehandling,knime-filehandling/org.knime.base.filehandling/plugin.xml,/io/filehandling/remote/connections
date-2026-06-28,2026-06-28,org.knime.base.filehandling.unzip.UnzipNodeFactory,1,1,0,knime-filehandling,knime-filehandling/org.knime.base.filehandling/plugin.xml,
date-2026-06-28,2026-06-28,org.knime.base.filehandling.unzip2.UnzipNodeFactory,1,1,0,knime-filehandling,knime-filehandling/org.knime.base.filehandling/plugin.xml,/io/filehandling/zip
