factory_class,join_status,node_occurrence_count,workflow_count
org.knime.base.expressions.node.row.mapper.ExpressionRowMapperNodeFactory,exact_not_deprecated,3,1
org.knime.base.filehandling.binaryobjectstostrings.BinaryObjectsToStringsNodeFactory,exact_not_deprecated,1,1
org.knime.base.node.flowvariable.tablerowtovariable.TableToVariableNodeFactory,exact_deprecated,1,1
org.knime.base.node.flowvariable.tablerowtovariable3.TableToVariable3NodeFactory,exact_not_deprecated,4,2
org.knime.base.node.flowvariable.variabletotablerow2.VariableToTable2NodeFactory,exact_deprecated,1,1
org.knime.base.node.io.database.DBConnectionNodeFactory,exact_deprecated,14,5
org.knime.base.node.io.database.DBReaderConnectionNodeFactory,exact_deprecated,14,5
org.knime.base.node.io.database.DBUpdateNodeFactory,exact_deprecated,1,1
org.knime.base.node.io.database.DBWriterNodeFactory,exact_deprecated,1,1
org.knime.base.node.io.database.DatabaseLoopingNodeFactory,exact_deprecated,1,1
org.knime.base.node.io.filehandling.csv.reader.CSVTableReaderNodeFactory,exact_not_deprecated,72,29
org.knime.base.node.io.filehandling.csv.reader.FileReaderNodeFactory,exact_not_deprecated,5,5
org.knime.base.node.io.filehandling.csv.writer.CSVWriter2NodeFactory,exact_not_deprecated,88,19
org.knime.base.node.io.filehandling.model.writer.ModelWriterNodeFactory,exact_not_deprecated,1,1
org.knime.base.node.io.filehandling.pmml.writer.PMMLWriterNodeFactory2,exact_not_deprecated,1,1
org.knime.base.node.io.tablecreator.TableCreator2NodeFactory,exact_not_deprecated,9,6
org.knime.base.node.io.variablecreator.VariableCreatorNodeFactory,exact_not_deprecated,1,1
org.knime.base.node.jsnippet.JavaSnippetNodeFactory,exact_not_deprecated,3,2
org.knime.base.node.meta.looper.LoopEndDynamicNodeFactory,exact_not_deprecated,6,6
org.knime.base.node.meta.looper.group.GroupLoopStartNodeFactory,exact_not_deprecated,3,3
org.knime.base.node.meta.looper.variable.end.LoopEndVariableNodeFactory,exact_not_deprecated,1,1
org.knime.base.node.meta.looper.variable.start.LoopStartVariable3NodeFactory,exact_not_deprecated,5,5
org.knime.base.node.meta.xvalidation.AggregateOutputNodeFactory,exact_not_deprecated,24,4
org.knime.base.node.meta.xvalidation.XValidatePartitionerFactory,exact_not_deprecated,24,4
org.knime.base.node.mine.bayes.naivebayes.learner3.NaiveBayesLearnerNodeFactory4,exact_not_deprecated,1,1
org.knime.base.node.mine.bayes.naivebayes.predictor4.NaiveBayesPredictorNodeFactory3,exact_not_deprecated,1,1
org.knime.base.node.mine.cluster.kmeans.ClusterNodeFactory2,exact_not_deprecated,2,1
org.knime.base.node.mine.decisiontree2.learner2.DecisionTreeLearnerNodeFactory3,exact_not_deprecated,5,5
org.knime.base.node.mine.decisiontree2.predictor2.DecTreePredictorNodeFactory,exact_not_deprecated,5,5
org.knime.base.node.mine.neural.mlp2.MLPPredictorNodeFactory,exact_not_deprecated,4,4
org.knime.base.node.mine.neural.rprop.RPropNodeFactory2,exact_not_deprecated,4,4
org.knime.base.node.mine.regression.linear2.learner.LinReg2LearnerNodeFactory2,exact_not_deprecated,5,5
org.knime.base.node.mine.regression.logistic.learner4.LogRegLearnerNodeFactory4,exact_not_deprecated,5,5
org.knime.base.node.mine.regression.logistic.predictor.LogisticRegressionPredictorNodeFactory,exact_not_deprecated,5,5
org.knime.base.node.mine.regression.predict3.RegressionPredictorNodeFactory2,exact_not_deprecated,5,5
org.knime.base.node.mine.scorer.accuracy.AccuracyScorer2NodeFactory,exact_not_deprecated,28,5
org.knime.base.node.mine.scorer.numeric2.NumericScorer2NodeFactory,exact_not_deprecated,11,7
org.knime.base.node.mine.svm.learner.SVMLearnerNodeFactory2,exact_not_deprecated,4,4
org.knime.base.node.mine.svm.predictor2.SVMPredictorNodeFactory,exact_not_deprecated,4,4
org.knime.base.node.mine.treeensemble2.node.gradientboosting.learner.classification.GradientBoostingClassificationLearnerNodeFactory2,exact_not_deprecated,5,5
org.knime.base.node.mine.treeensemble2.node.gradientboosting.predictor.classification.GradientBoostingClassificationPredictorNodeFactory3,exact_not_deprecated,5,5
org.knime.base.node.mine.treeensemble2.node.randomforest.learner.classification.RandomForestClassificationLearnerNodeFactory2,exact_not_deprecated,6,5
org.knime.base.node.mine.treeensemble2.node.randomforest.predictor.classification.RandomForestClassificationPredictorNodeFactory2,exact_not_deprecated,6,5
org.knime.base.node.preproc.addemptyrows.AddEmptyRowsNodeFactory,exact_not_deprecated,1,1
org.knime.base.node.preproc.append.row.AppendedRowsNodeFactory,exact_not_deprecated,88,13
org.knime.base.node.preproc.append.row.AppendedRowsWithOptionalInNodeFactory,exact_deprecated,2,2
org.knime.base.node.preproc.caseconvert.CaseConvertNodeFactory,exact_not_deprecated,1,1
org.knime.base.node.preproc.cellsplit2.CellSplitter2NodeFactory,exact_not_deprecated,21,9
org.knime.base.node.preproc.colautotypecast.ColumnAutoTypeCasterNodeFactory,exact_not_deprecated,2,1
org.knime.base.node.preproc.colcombine2.ColCombine2NodeFactory,exact_not_deprecated,37,10
org.knime.base.node.preproc.colconvert.categorytonumber2.CategoryToNumberNodeFactory2,exact_not_deprecated,2,2
org.knime.base.node.preproc.colconvert.numbertostring2.NumberToString2NodeFactory,exact_not_deprecated,8,3
org.knime.base.node.preproc.colconvert.stringtonumber2.StringToNumber2NodeFactory,exact_not_deprecated,27,16
org.knime.base.node.preproc.column.renamer.ColumnRenamerNodeFactory,exact_not_deprecated,96,24
org.knime.base.node.preproc.columnaggregator.ColumnAggregatorNodeFactory,exact_not_deprecated,1,1
org.knime.base.node.preproc.columnappend2.ColumnAppender2NodeFactory,exact_not_deprecated,6,6
